YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,CONFIRMED_UNITS,GRAFFITI,SCORE,AGE
2020,1964,PRIVATE,103,5,80,56
2020,1964,PRIVATE,104,5,78,56
2020,1972,PRIVATE,105,5,88,48
2020,1960,PRIVATE,18,5,75,60
2020,1930,PRIVATE,24,5,79,90
2020,1928,PRIVATE,24,5,72,92
2020,1900,PRIVATE,17,5,51,120
2020,1958,PRIVATE,11,5,75,62
2020,1954,PRIVATE,19,5,88,66
2020,1950,PRIVATE,24,5,84,70
2020,1950,PRIVATE,64,5,87,70
2020,1927,PRIVATE,17,5,69,93
2020,1929,PRIVATE,24,5,91,91
2020,1926,PRIVATE,25,5,75,94
2020,1955,PRIVATE,34,5,83,65
2020,1950,PRIVATE,26,5,83,70
2020,1953,PRIVATE,26,5,80,67
2020,1949,PRIVATE,36,5,80,71
2020,1991,SOCIAL HOUSING,26,5,77,29
2020,1969,TCHC,14,5,73,51
2020,1957,PRIVATE,10,5,70,63
2020,1900,PRIVATE,28,5,63,120
2020,1960,PRIVATE,57,5,82,60
2020,1954,PRIVATE,22,5,88,66
2020,1954,PRIVATE,22,5,86,66
2020,1975,PRIVATE,173,5,81,45
2020,1964,PRIVATE,250,5,82,56
2020,1960,PRIVATE,20,5,81,60
2020,1960,PRIVATE,26,5,79,60
2020,1980,PRIVATE,40,5,75,40
2020,1950,PRIVATE,11,5,75,70
2020,1961,PRIVATE,59,5,81,59
2020,1954,PRIVATE,22,5,86,66
2020,1907,PRIVATE,11,5,73,113
2020,1989,SOCIAL HOUSING,10,5,88,31
2020,1923,PRIVATE,16,4,72,97
2020,1960,PRIVATE,28,5,78,60
2020,1956,PRIVATE,44,5,88,64
2020,1950,PRIVATE,31,5,80,70
2020,1965,PRIVATE,193,5,80,55
2020,1965,PRIVATE,15,5,83,55
2020,1993,SOCIAL HOUSING,243,5,79,27
2020,1961,PRIVATE,107,5,78,59
2020,1965,PRIVATE,110,5,80,55
2020,1955,PRIVATE,58,5,79,65
2020,1958,PRIVATE,11,5,74,62
2020,1955,PRIVATE,38,5,81,65
2020,1960,PRIVATE,40,5,79,60
2020,1913,PRIVATE,20,5,79,107
2020,1955,PRIVATE,33,5,83,65
2020,1983,TCHC,181,5,91,37
2020,1960,PRIVATE,200,4,81,60
2020,1967,PRIVATE,54,4,83,53
2020,1969,PRIVATE,34,5,84,51
2020,1988,SOCIAL HOUSING,34,5,78,32
2020,1989,SOCIAL HOUSING,19,5,85,31
2020,1955,PRIVATE,36,5,88,65
2020,1955,PRIVATE,41,5,73,65
2020,1921,PRIVATE,13,3,66,99
2020,1950,PRIVATE,11,5,78,70
2020,1987,SOCIAL HOUSING,15,5,81,33
2020,1930,PRIVATE,28,5,69,90
2020,1935,PRIVATE,13,5,75,85
2020,1931,PRIVATE,12,4,65,89
2020,1930,PRIVATE,27,5,69,90
2020,1910,PRIVATE,18,5,72,110
2020,1969,PRIVATE,152,5,81,51
2020,1965,PRIVATE,83,4,83,55
2020,1966,PRIVATE,112,5,81,54
2020,1954,PRIVATE,34,5,71,66
2020,1937,PRIVATE,34,4,63,83
2020,1920,PRIVATE,15,5,79,100
2020,1928,PRIVATE,15,4,77,92
2020,1959,PRIVATE,84,4,60,61
2020,1974,PRIVATE,233,5,88,46
2020,1925,PRIVATE,18,5,72,95
2020,1925,PRIVATE,19,5,73,95
2020,1960,PRIVATE,16,5,75,60
2020,1970,PRIVATE,17,5,71,50
2020,1975,PRIVATE,18,3,68,45
2020,1929,PRIVATE,12,5,64,91
2020,1957,TCHC,31,4,70,63
2020,1914,PRIVATE,13,2,70,106
2020,1956,PRIVATE,25,5,81,64
2020,1970,PRIVATE,28,5,80,50
2020,1964,PRIVATE,212,3,81,56
2020,1989,SOCIAL HOUSING,24,5,74,31
2020,1955,PRIVATE,14,5,84,65
2020,1955,PRIVATE,16,5,85,65
2020,1950,PRIVATE,13,5,90,70
2020,1989,PRIVATE,40,5,76,31
2020,1952,PRIVATE,34,5,87,68
2020,1952,PRIVATE,17,5,87,68
2020,1953,PRIVATE,11,4,64,67
2020,1930,PRIVATE,16,5,79,90
2020,1958,PRIVATE,27,5,78,62
2020,1964,PRIVATE,213,4,87,56
2020,1960,PRIVATE,75,5,86,60
2020,1928,PRIVATE,26,4,73,92
2020,1960,PRIVATE,144,4,79,60
2020,1928,PRIVATE,30,5,74,92
2020,2009,SOCIAL HOUSING,30,5,81,11
2020,1957,PRIVATE,23,5,83,63
2020,1957,PRIVATE,37,5,80,63
2020,1966,PRIVATE,284,5,84,54
2020,1912,PRIVATE,16,5,85,108
2020,1950,SOCIAL HOUSING,10,5,79,70
2020,1958,PRIVATE,11,5,84,62
2020,1953,PRIVATE,10,5,73,67
2020,1959,PRIVATE,30,5,92,61
2020,1969,PRIVATE,26,4,76,51
2020,1970,SOCIAL HOUSING,49,4,69,50
2020,2007,SOCIAL HOUSING,14,5,80,13
2020,1970,PRIVATE,25,5,75,50
2020,2005,SOCIAL HOUSING,84,5,88,15
2020,1957,TCHC,30,4,71,63
2020,1959,PRIVATE,20,5,74,61
2020,1966,SOCIAL HOUSING,32,5,78,54
2020,1932,PRIVATE,11,5,81,88
2020,1955,PRIVATE,38,5,80,65
2020,1955,PRIVATE,63,5,80,65
2020,1950,PRIVATE,33,5,74,70
2020,1939,PRIVATE,19,5,80,81
2020,1939,PRIVATE,19,4,75,81
2020,1962,PRIVATE,41,5,82,58
2020,1958,PRIVATE,35,5,76,62
2020,1960,PRIVATE,33,5,81,60
2020,1960,PRIVATE,33,5,76,60
2020,1957,TCHC,31,4,68,63
2020,1957,TCHC,31,4,73,63
2020,1957,TCHC,30,3,73,63
2020,1957,TCHC,30,4,72,63
2020,1957,TCHC,31,4,73,63
2020,1955,PRIVATE,57,3,68,65
2020,1911,PRIVATE,15,5,76,109
2020,1968,PRIVATE,160,4,80,52
2020,1905,PRIVATE,18,5,80,115
2020,1959,PRIVATE,187,5,83,61
2020,1958,PRIVATE,61,5,96,62
2020,1929,SOCIAL HOUSING,29,4,77,91
2020,1962,PRIVATE,109,5,70,58
2020,1970,PRIVATE,141,5,75,50
2020,1960,PRIVATE,33,5,79,60
2020,1960,PRIVATE,33,5,78,60
2020,1960,PRIVATE,50,5,77,60
2020,1965,PRIVATE,60,5,73,55
2020,1975,PRIVATE,36,4,77,45
2020,1940,PRIVATE,11,5,91,80
2020,1960,PRIVATE,16,5,74,60
2020,1918,PRIVATE,13,5,65,102
2020,1927,PRIVATE,11,4,53,93
2020,1925,PRIVATE,11,5,53,95
2020,1974,PRIVATE,49,5,82,46
2020,1955,PRIVATE,19,5,77,65
2020,1930,PRIVATE,43,5,77,90
2020,1973,PRIVATE,155,5,85,47
2020,1973,PRIVATE,41,5,88,47
2020,1959,PRIVATE,65,5,73,61
2020,1960,PRIVATE,62,3,69,60
2020,1950,PRIVATE,34,5,63,70
2020,1953,PRIVATE,46,3,69,67
2020,1963,TCHC,47,5,71,57
2020,1937,PRIVATE,22,5,67,83
2020,1955,PRIVATE,22,5,81,65
2020,1955,PRIVATE,22,5,81,65
2020,1971,TCHC,14,5,72,49
2020,1969,PRIVATE,37,5,77,51
2020,1941,TCHC,40,5,67,79
2020,1960,SOCIAL HOUSING,40,5,78,60
2020,1960,PRIVATE,37,5,78,60
2020,1951,PRIVATE,47,5,81,69
2020,1960,PRIVATE,47,5,83,60
2020,1960,PRIVATE,47,5,81,60
2020,1960,PRIVATE,52,5,81,60
2020,1963,PRIVATE,44,5,79,57
2020,1965,PRIVATE,52,5,86,55
2020,1965,PRIVATE,108,5,86,55
2020,1955,PRIVATE,15,5,85,65
2020,1960,PRIVATE,86,4,78,60
2020,1951,PRIVATE,38,5,79,69
2020,1951,PRIVATE,47,5,78,69
2020,1952,PRIVATE,15,5,73,68
2020,1965,PRIVATE,10,5,78,55
2020,1972,PRIVATE,178,5,83,48
2020,1977,TCHC,156,4,78,43
2020,1950,PRIVATE,13,5,70,70
2020,1956,PRIVATE,13,5,71,64
2020,1927,PRIVATE,42,5,79,93
2020,1928,PRIVATE,56,5,84,92
2020,1910,SOCIAL HOUSING,23,4,73,110
2020,1967,PRIVATE,38,3,73,53
2020,1957,TCHC,30,5,68,63
2020,1958,PRIVATE,26,5,84,62
2020,1960,PRIVATE,11,5,75,60
2020,1957,TCHC,31,5,74,63
2020,1957,TCHC,30,3,63,63
2020,1955,PRIVATE,11,5,78,65
2020,1960,PRIVATE,11,5,68,60
2020,1968,PRIVATE,24,5,75,52
2020,1910,PRIVATE,12,5,72,110
2020,1940,PRIVATE,15,5,65,80
2020,1958,PRIVATE,10,5,78,62
2020,1920,PRIVATE,35,5,78,100
2020,1920,PRIVATE,36,5,73,100
2020,1960,PRIVATE,17,5,81,60
2020,1978,SOCIAL HOUSING,179,5,89,42
2020,1957,PRIVATE,21,5,81,63
2020,1985,SOCIAL HOUSING,41,4,80,35
2020,1957,PRIVATE,29,5,72,63
2020,1975,PRIVATE,214,5,80,45
2020,1994,SOCIAL HOUSING,60,5,86,26
2020,1960,PRIVATE,29,5,86,60
2020,1984,SOCIAL HOUSING,176,5,81,36
2020,1957,PRIVATE,18,5,68,63
2020,2006,PRIVATE,14,5,98,14
2020,1965,PRIVATE,109,5,81,55
2020,1970,PRIVATE,47,5,78,50
2020,2003,SOCIAL HOUSING,24,5,89,17
2020,1967,PRIVATE,20,5,84,53
2020,1962,PRIVATE,34,5,89,58
2020,1956,PRIVATE,28,3,88,64
2020,1940,PRIVATE,31,5,76,80
2020,1986,SOCIAL HOUSING,104,5,80,34
2020,1952,PRIVATE,40,5,76,68
2020,1962,PRIVATE,331,5,81,58
2020,1952,PRIVATE,33,5,84,68
2020,1970,PRIVATE,246,3,75,50
2020,1930,PRIVATE,17,5,80,90
2020,1950,PRIVATE,32,5,73,70
2020,1930,PRIVATE,10,4,72,90
2020,1957,PRIVATE,30,4,68,63
2020,1960,PRIVATE,60,5,76,60
2020,1970,PRIVATE,47,5,81,50
2020,1965,PRIVATE,102,5,79,55
2020,1958,PRIVATE,34,5,73,62
2020,1960,PRIVATE,61,5,80,60
2020,1970,PRIVATE,45,5,80,50
2020,1960,PRIVATE,12,5,69,60
2020,1920,PRIVATE,18,5,70,100
2020,1954,PRIVATE,54,5,75,66
2020,1954,PRIVATE,54,5,71,66
2020,1954,PRIVATE,54,5,76,66
2020,1960,PRIVATE,29,5,76,60
2020,1955,PRIVATE,17,5,80,65
2020,1972,PRIVATE,126,5,71,48
2020,1928,PRIVATE,29,5,79,92
2020,1940,PRIVATE,33,5,83,80
2020,1970,PRIVATE,33,5,72,50
2020,1950,PRIVATE,28,5,79,70
2020,1967,PRIVATE,42,5,93,53
2020,1952,PRIVATE,80,5,76,68
2020,1935,PRIVATE,40,5,74,85
2020,2003,SOCIAL HOUSING,44,4,73,17
2020,1923,PRIVATE,32,4,69,97
2020,1920,PRIVATE,12,5,66,100
2020,1950,PRIVATE,33,5,82,70
2020,1950,PRIVATE,27,5,84,70
2020,1950,PRIVATE,32,5,84,70
2020,2016,PRIVATE,64,5,83,4
2020,1964,PRIVATE,225,5,67,56
2020,1958,PRIVATE,27,5,81,62
2020,1960,PRIVATE,11,5,71,60
2020,1960,PRIVATE,11,5,75,60
2020,1956,PRIVATE,22,5,87,64
2020,1971,PRIVATE,334,5,90,49
2020,1937,PRIVATE,32,5,76,83
2020,1954,PRIVATE,32,5,82,66
2020,1960,PRIVATE,36,5,87,60
2020,1954,PRIVATE,41,5,79,66
2020,1945,PRIVATE,24,5,73,75
2020,1959,PRIVATE,30,5,74,61
2020,1967,PRIVATE,325,5,76,53
2020,1954,PRIVATE,34,5,73,66
2020,1962,PRIVATE,103,5,71,58
2020,1964,PRIVATE,204,5,79,56
2020,1964,PRIVATE,240,5,80,56
2020,1967,PRIVATE,77,5,84,53
2020,1989,SOCIAL HOUSING,164,5,89,31
2020,1960,PRIVATE,50,5,87,60
2020,1957,PRIVATE,27,5,81,63
2020,1960,PRIVATE,11,5,79,60
2020,1957,PRIVATE,39,5,80,63
2020,1951,PRIVATE,12,4,71,69
2020,1953,PRIVATE,11,5,79,67
2020,1953,PRIVATE,11,5,80,67
2020,1960,PRIVATE,34,5,70,60
2020,1955,PRIVATE,39,5,76,65
2020,1955,PRIVATE,44,5,87,65
2020,1960,PRIVATE,32,5,71,60
2020,1969,PRIVATE,95,5,72,51
2020,1954,PRIVATE,16,5,84,66
2020,1960,PRIVATE,12,4,71,60
2020,1960,PRIVATE,28,5,77,60
2020,1935,PRIVATE,32,5,79,85
2020,1960,PRIVATE,28,5,87,60
2020,1960,PRIVATE,36,5,81,60
2020,1955,PRIVATE,10,2,68,65
2020,1960,PRIVATE,11,3,69,60
2020,1962,PRIVATE,38,5,76,58
2020,1960,PRIVATE,33,5,76,60
2020,1954,PRIVATE,10,4,64,66
2020,1927,PRIVATE,20,5,76,93
2020,1984,TCHC,237,5,68,36
2020,1955,PRIVATE,30,5,82,65
2020,1967,TCHC,221,5,69,53
2020,1950,PRIVATE,28,4,71,70
2020,1950,PRIVATE,34,4,68,70
2020,1930,PRIVATE,25,5,70,90
2020,1944,PRIVATE,16,5,77,76
2020,1957,PRIVATE,12,5,77,63
2020,1959,PRIVATE,14,5,80,61
2020,1959,PRIVATE,14,5,79,61
2020,1952,PRIVATE,13,5,80,68
2020,1952,PRIVATE,13,5,79,68
2020,1952,PRIVATE,13,5,80,68
2020,1952,PRIVATE,13,5,81,68
2020,1952,PRIVATE,13,5,80,68
2020,1952,PRIVATE,13,5,79,68
2020,1952,PRIVATE,13,5,79,68
2020,1952,PRIVATE,15,5,78,68
2020,1952,PRIVATE,14,5,79,68
2020,1952,PRIVATE,14,5,80,68
2020,1962,PRIVATE,34,4,74,58
2020,1960,PRIVATE,28,5,76,60
2020,1974,PRIVATE,61,5,78,46
2020,1965,PRIVATE,61,5,84,55
2020,1940,SOCIAL HOUSING,12,2,66,80
2020,1957,PRIVATE,36,5,77,63
2020,1970,PRIVATE,60,5,79,50
2020,1960,PRIVATE,39,5,79,60
2020,1973,PRIVATE,129,5,78,47
2020,1960,PRIVATE,12,5,79,60
2020,1967,PRIVATE,11,5,85,53
2020,1957,PRIVATE,12,5,75,63
2020,1957,PRIVATE,12,5,77,63
2020,1957,PRIVATE,12,5,75,63
2020,1972,PRIVATE,329,5,95,48
2020,1938,PRIVATE,33,5,81,82
2020,1959,PRIVATE,29,5,76,61
2020,1967,PRIVATE,147,5,82,53
2020,1930,PRIVATE,26,5,71,90
2020,1940,PRIVATE,15,5,53,80
2020,1955,PRIVATE,31,5,87,65
2020,1905,PRIVATE,16,3,73,115
2020,1956,PRIVATE,11,5,67,64
2020,1974,PRIVATE,171,5,79,46
2020,1974,TCHC,48,5,80,46
2020,1961,PRIVATE,251,5,83,59
2020,1954,PRIVATE,39,5,81,66
2020,1910,PRIVATE,10,5,79,110
2020,1909,PRIVATE,27,5,80,111
2020,1955,PRIVATE,23,5,81,65
2020,1969,PRIVATE,11,5,85,51
2020,1960,PRIVATE,48,5,81,60
2020,1969,TCHC,183,3,63,51
2020,1969,TCHC,183,4,64,51
2020,1970,PRIVATE,102,5,81,50
2020,1959,PRIVATE,24,5,79,61
2020,1950,PRIVATE,53,5,80,70
2020,1962,PRIVATE,29,5,74,58
2020,1970,PRIVATE,18,5,83,50
2020,1970,PRIVATE,17,5,83,50
2020,1962,PRIVATE,32,5,68,58
2020,1950,PRIVATE,19,5,83,70
2020,1950,PRIVATE,23,5,73,70
2020,1950,PRIVATE,62,5,74,70
2020,1970,PRIVATE,12,5,83,50
2020,1984,TCHC,179,5,78,36
2020,1961,PRIVATE,64,5,84,59
2020,1928,PRIVATE,31,5,84,92
2020,1950,PRIVATE,11,5,61,70
2020,1950,PRIVATE,11,5,63,70
2020,1953,PRIVATE,25,5,78,67
2020,1956,PRIVATE,22,5,83,64
2020,1940,PRIVATE,14,5,55,80
2020,1940,PRIVATE,14,4,55,80
2020,1968,PRIVATE,178,5,68,52
2020,1950,PRIVATE,12,5,80,70
2020,1973,PRIVATE,241,5,75,47
2020,1965,PRIVATE,221,4,75,55
2020,1963,PRIVATE,36,5,80,57
2020,1970,PRIVATE,23,5,73,50
2020,1920,PRIVATE,10,3,69,100
2020,1965,PRIVATE,231,5,80,55
2020,1967,PRIVATE,279,5,85,53
2020,1971,TCHC,145,4,75,49
2020,1959,PRIVATE,78,5,83,61
2020,1962,PRIVATE,47,5,67,58
2020,1920,PRIVATE,23,4,69,100
2020,1920,PRIVATE,24,4,73,100
2020,1966,PRIVATE,52,5,73,54
2020,1920,PRIVATE,27,3,68,100
2020,1920,PRIVATE,21,4,76,100
2020,1920,PRIVATE,18,4,63,100
2020,1920,PRIVATE,18,3,69,100
2020,1951,PRIVATE,11,4,69,69
2020,1951,PRIVATE,12,4,73,69
2020,1951,PRIVATE,13,4,79,69
2020,1968,PRIVATE,305,5,84,52
2020,1805,PRIVATE,69,5,67,215
2020,1903,PRIVATE,18,5,97,117
2020,1963,PRIVATE,76,5,94,57
2020,1970,PRIVATE,73,5,81,50
2020,1959,PRIVATE,63,5,80,61
2020,1938,PRIVATE,54,5,68,82
2020,1960,PRIVATE,60,5,92,60
2020,1937,PRIVATE,97,5,72,83
2020,1985,TCHC,101,5,88,35
2020,1961,PRIVATE,120,5,89,59
2020,1970,PRIVATE,268,5,88,50
2020,1951,PRIVATE,12,4,80,69
2020,1950,PRIVATE,12,3,75,70
2020,1960,SOCIAL HOUSING,77,5,82,60
2020,1962,PRIVATE,72,5,83,58
2020,1979,PRIVATE,83,5,90,41
2020,1958,PRIVATE,60,5,85,62
2020,1960,PRIVATE,61,5,92,60
2020,1963,PRIVATE,81,5,91,57
2020,1960,PRIVATE,64,5,92,60
2020,1929,PRIVATE,72,5,80,91
2020,1963,PRIVATE,30,5,84,57
2020,1965,PRIVATE,26,5,81,55
2020,1968,PRIVATE,118,4,92,52
2020,1958,PRIVATE,66,4,76,62
2020,1957,PRIVATE,46,5,74,63
2020,1970,PRIVATE,29,5,66,50
2020,1971,TCHC,201,5,82,49
2020,1904,PRIVATE,32,5,90,116
2020,1932,PRIVATE,10,5,80,88
2020,1923,PRIVATE,16,5,76,97
2020,1911,PRIVATE,21,5,85,109
2020,1993,SOCIAL HOUSING,130,5,81,27
2020,1993,TCHC,124,5,81,27
2020,1912,PRIVATE,32,5,79,108
2020,1955,PRIVATE,11,5,65,65
2020,1958,PRIVATE,10,5,77,62
2020,2002,PRIVATE,15,4,78,18
2020,1958,PRIVATE,17,5,81,62
2020,1973,PRIVATE,561,5,83,47
2020,1958,PRIVATE,53,5,78,62
2020,1956,PRIVATE,11,3,59,64
2020,1956,PRIVATE,12,3,59,64
2020,1970,PRIVATE,13,4,74,50
2020,1960,PRIVATE,11,4,71,60
2020,1966,PRIVATE,36,4,77,54
2020,1927,PRIVATE,19,3,71,93
2020,1957,PRIVATE,10,5,68,63
2020,1952,PRIVATE,12,5,79,68
2020,1975,TCHC,200,4,63,45
2020,1975,TCHC,102,4,63,45
2020,1986,PRIVATE,86,5,93,34
2020,1958,PRIVATE,29,5,85,62
2020,1920,PRIVATE,16,5,83,100
2020,1985,PRIVATE,24,5,72,35
2020,1957,PRIVATE,23,5,72,63
2020,1957,PRIVATE,23,5,75,63
2020,2009,PRIVATE,28,3,74,11
2020,1954,PRIVATE,50,5,71,66
2020,1954,PRIVATE,11,5,73,66
2020,1967,TCHC,38,4,76,53
2020,1954,PRIVATE,71,5,78,66
2020,1965,PRIVATE,45,5,88,55
2020,1960,PRIVATE,37,5,82,60
2020,1940,PRIVATE,15,5,69,80
2020,1964,PRIVATE,82,5,81,56
2020,1968,PRIVATE,272,5,84,52
2020,1952,PRIVATE,29,5,76,68
2020,1927,PRIVATE,40,5,66,93
2020,1968,PRIVATE,33,5,72,52
2020,1967,PRIVATE,160,3,82,53
2020,1962,PRIVATE,65,5,80,58
2020,1962,PRIVATE,81,5,78,58
2020,1965,PRIVATE,87,5,79,55
2020,1955,PRIVATE,48,5,80,65
2020,1953,PRIVATE,32,5,84,67
2020,1947,PRIVATE,29,5,81,73
2020,1960,TCHC,42,4,78,60
2020,1964,PRIVATE,12,4,73,56
2020,1961,PRIVATE,47,5,69,59
2020,1964,PRIVATE,37,5,81,56
2020,1962,PRIVATE,11,5,80,58
2020,1960,PRIVATE,15,5,80,60
2020,1959,SOCIAL HOUSING,16,5,74,61
2020,1951,PRIVATE,12,3,73,69
2020,1967,PRIVATE,12,5,75,53
2020,1970,TCHC,66,4,76,50
2020,1970,PRIVATE,16,4,75,50
2020,1970,PRIVATE,16,4,75,50
2020,1970,PRIVATE,16,4,75,50
2020,1970,PRIVATE,16,4,75,50
2020,1963,PRIVATE,53,5,79,57
2020,1969,TCHC,237,5,74,51
2020,1963,PRIVATE,118,5,73,57
2020,1960,PRIVATE,34,5,77,60
2020,1950,PRIVATE,12,5,80,70
2020,1953,PRIVATE,38,5,76,67
2020,1960,PRIVATE,23,5,81,60
2020,1950,PRIVATE,20,5,81,70
2020,1950,PRIVATE,26,5,82,70
2020,1963,PRIVATE,97,5,74,57
2020,1963,PRIVATE,97,5,73,57
2020,1943,PRIVATE,25,4,71,77
2020,1969,PRIVATE,112,5,79,51
2020,1970,TCHC,186,5,82,50
2020,1976,PRIVATE,575,5,87,44
2020,1966,PRIVATE,308,5,84,54
2020,1967,PRIVATE,332,5,76,53
2020,1968,PRIVATE,400,5,85,52
2020,1966,PRIVATE,474,3,75,54
2020,1965,PRIVATE,380,5,83,55
2020,1959,PRIVATE,70,5,79,61
2020,1961,PRIVATE,120,4,77,59
2020,1972,PRIVATE,103,5,77,48
2020,1962,PRIVATE,55,5,83,58
2020,1950,PRIVATE,51,5,67,70
2020,1920,PRIVATE,65,5,76,100
2020,1969,PRIVATE,48,4,78,51
2020,1980,TCHC,22,5,76,40
2020,1980,TCHC,22,4,74,40
2020,1970,PRIVATE,16,4,76,50
2020,1950,PRIVATE,16,5,80,70
2020,1957,PRIVATE,13,5,84,63
2020,1960,PRIVATE,11,5,61,60
2020,1965,PRIVATE,180,5,82,55
2020,1961,PRIVATE,102,5,85,59
2020,1958,PRIVATE,35,5,72,62
2020,1950,PRIVATE,12,5,74,70
2020,1955,PRIVATE,13,5,73,65
2020,1955,PRIVATE,13,5,73,65
2020,1950,PRIVATE,14,5,81,70
2020,1950,PRIVATE,14,5,80,70
2020,1955,PRIVATE,17,5,77,65
2020,1955,PRIVATE,53,5,67,65
2020,1963,PRIVATE,45,5,73,57
2020,1960,PRIVATE,62,5,92,60
2020,1971,TCHC,278,2,72,49
2020,1971,TCHC,278,3,78,49
2020,1969,PRIVATE,149,5,88,51
2020,1952,PRIVATE,15,3,61,68
2020,1959,PRIVATE,64,4,79,61
2020,1982,PRIVATE,238,5,81,38
2020,1962,PRIVATE,26,5,79,58
2020,1952,PRIVATE,34,5,79,68
2020,1963,PRIVATE,101,4,81,57
2020,1917,PRIVATE,28,5,74,103
2020,1925,PRIVATE,24,4,70,95
2020,1930,PRIVATE,27,4,70,90
2020,1950,SOCIAL HOUSING,25,5,81,70
2020,1927,PRIVATE,17,4,70,93
2020,1935,PRIVATE,18,4,75,85
2020,1960,PRIVATE,24,4,80,60
2020,1920,PRIVATE,29,4,76,100
2020,1920,PRIVATE,29,4,73,100
2020,1920,PRIVATE,16,4,72,100
2020,1960,PRIVATE,39,4,78,60
2020,1968,PRIVATE,86,5,73,52
2020,1958,PRIVATE,26,4,79,62
2020,1969,PRIVATE,255,2,65,51
2020,1956,PRIVATE,56,4,79,64
2020,1950,PRIVATE,17,5,74,70
2020,1975,PRIVATE,419,5,74,45
2020,1970,PRIVATE,298,5,89,50
2020,1970,PRIVATE,286,5,85,50
2020,1959,PRIVATE,44,4,80,61
2020,1970,PRIVATE,304,5,84,50
2020,1960,PRIVATE,11,5,68,60
2020,1960,PRIVATE,10,5,69,60
2020,1960,PRIVATE,11,5,67,60
2020,1960,PRIVATE,45,5,81,60
2020,1958,PRIVATE,50,5,83,62
2020,1917,PRIVATE,10,5,73,103
2020,1978,PRIVATE,36,5,79,42
2020,1958,PRIVATE,50,5,83,62
2020,1955,PRIVATE,35,5,84,65
2020,1957,PRIVATE,36,5,80,63
2020,1952,PRIVATE,26,5,76,68
2020,1952,PRIVATE,26,5,80,68
2020,1952,PRIVATE,26,5,80,68
2020,1952,PRIVATE,14,5,80,68
2020,1969,PRIVATE,159,5,81,51
2020,1995,SOCIAL HOUSING,115,5,81,25
2020,1897,SOCIAL HOUSING,21,2,73,123
2020,1990,SOCIAL HOUSING,11,5,83,30
2020,1962,PRIVATE,20,4,78,58
2020,1971,PRIVATE,584,4,72,49
2020,1971,PRIVATE,587,4,72,49
2020,1971,PRIVATE,159,4,70,49
2020,1968,PRIVATE,141,5,74,52
2020,1955,PRIVATE,77,5,92,65
2020,1955,PRIVATE,55,5,91,65
2020,1955,PRIVATE,65,5,93,65
2020,1976,PRIVATE,263,5,89,44
2020,1960,PRIVATE,212,3,72,60
2020,1985,SOCIAL HOUSING,98,3,86,35
2020,1983,SOCIAL HOUSING,174,4,90,37
2020,1963,PRIVATE,100,5,80,57
2020,1964,PRIVATE,60,5,86,56
2020,1968,PRIVATE,285,4,79,52
2020,1970,PRIVATE,284,5,82,50
2020,1960,PRIVATE,221,5,78,60
2020,1963,PRIVATE,45,5,73,57
2020,1958,PRIVATE,42,5,72,62
2020,1956,PRIVATE,12,4,78,64
2020,1956,PRIVATE,11,5,78,64
2020,1957,PRIVATE,12,4,75,63
2020,1964,PRIVATE,106,4,72,56
2020,1960,PRIVATE,116,5,85,60
2020,1962,PRIVATE,55,5,74,58
2020,1961,PRIVATE,55,5,78,59
2020,1956,PRIVATE,10,4,80,64
2020,1958,PRIVATE,12,5,74,62
2020,1958,PRIVATE,29,5,84,62
2020,1958,PRIVATE,29,5,89,62
2020,1958,PRIVATE,30,5,86,62
2020,1950,PRIVATE,83,4,74,70
2020,1958,PRIVATE,30,5,84,62
2020,1970,PRIVATE,44,5,68,50
2020,1955,PRIVATE,46,5,77,65
2020,1970,PRIVATE,160,4,80,50
2020,1960,PRIVATE,30,5,76,60
2020,1980,TCHC,148,5,79,40
2020,1960,PRIVATE,10,4,73,60
2020,1950,PRIVATE,40,5,83,70
2020,1950,PRIVATE,40,5,81,70
2020,1955,PRIVATE,45,5,80,65
2020,1929,PRIVATE,39,5,80,91
2020,1993,SOCIAL HOUSING,22,5,84,27
2020,1965,PRIVATE,218,5,84,55
2020,1960,PRIVATE,41,5,71,60
2020,1960,PRIVATE,13,5,68,60
2020,1952,PRIVATE,13,5,71,68
2020,1969,PRIVATE,131,5,79,51
2020,1992,SOCIAL HOUSING,41,3,87,28
2020,1954,PRIVATE,46,5,72,66
2020,1955,PRIVATE,40,5,87,65
2020,1957,PRIVATE,73,5,81,63
2020,1959,PRIVATE,24,5,78,61
2020,1968,PRIVATE,178,5,69,52
2020,1950,PRIVATE,11,4,76,70
2020,1956,PRIVATE,10,4,74,64
2020,1965,PRIVATE,11,4,69,55
2020,1950,PRIVATE,28,4,80,70
2020,1910,PRIVATE,18,5,83,110
2020,1966,PRIVATE,294,4,74,54
2020,1962,TCHC,200,4,79,58
2020,1888,PRIVATE,16,5,81,132
2020,1926,PRIVATE,21,5,81,94
2020,1929,PRIVATE,32,5,79,91
2020,1965,PRIVATE,153,5,70,55
2020,1968,PRIVATE,12,4,70,52
2020,1960,PRIVATE,31,3,72,60
2020,1955,PRIVATE,34,4,77,65
2020,1956,PRIVATE,15,4,79,64
2020,1956,PRIVATE,16,3,79,64
2020,1929,PRIVATE,60,4,69,91
2020,1931,PRIVATE,48,3,79,89
2020,1930,PRIVATE,24,3,77,90
2020,1950,PRIVATE,14,5,80,70
